,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,40,41,42,43,44,46,47,48,49,69,86,78,64,70
2,0,1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,20,21,22,23,24,25,26,27,28,29,31,32,34,35,36,37,38,40,41,42,44,46,47,48,49,86,78,64,70,65,85,76,59,66
3,0,1,2,3,4,5,6,7,8,9,10,11,12,16,18,20,22,23,24,25,26,27,28,29,31,32,34,35,37,38,40,41,42,44,46,47,49,86,78,64,70,85,76,59,66,61,84,74,55,62
4,0,1,2,3,4,5,6,7,8,9,10,11,12,18,20,22,24,25,26,27,28,29,31,32,34,35,37,38,41,42,44,46,47,49,86,78,70,85,76,59,66,84,74,55,62,57,83,72,51,58
5,0,1,2,3,4,5,6,7,8,9,10,11,12,20,22,24,26,27,28,29,31,32,34,35,37,38,41,42,46,47,49,86,78,70,85,76,66,84,74,55,62,83,72,51,58,54,82,69,45,56
6,0,1,2,3,4,5,6,7,8,9,10,11,12,22,24,26,28,29,31,32,34,35,37,38,41,42,46,47,86,78,70,85,76,66,84,74,62,83,72,51,58,82,69,45,56,52,81,67,40,53
7,0,1,2,3,4,5,6,7,8,9,10,11,12,24,26,28,31,32,34,35,37,38,41,42,46,47,86,78,85,76,66,84,74,62,83,72,58,82,69,45,56,81,67,40,53,49,80,64,36,50
8,0,1,2,3,4,5,6,7,8,9,10,11,12,26,28,31,34,35,37,38,41,42,46,47,86,78,85,76,84,74,62,83,72,58,82,69,56,81,67,40,53,80,64,36,50,48,79,63,30,51
9,0,1,2,3,4,5,6,7,8,9,10,11,12,28,31,34,37,38,41,42,46,47,86,78,85,76,84,74,83,72,58,82,69,56,81,67,53,80,64,36,50,79,63,30,51,44,77,61,29,45
10,0,1,2,3,4,5,6,7,8,9,10,11,12,31,34,37,41,42,46,47,86,78,85,76,84,74,83,72,82,69,56,81,67,53,80,64,50,79,63,30,51,77,61,29,45,40,75,60,27,43
