,accuracy,val_accuracy
0,0.4690921902656555,0.7050847411155701
1,0.5008831024169922,0.68813556432724
2,0.5973154306411743,0.5288135409355164
3,0.6061462163925171,0.5355932116508484
4,0.5224302411079407,0.45423728227615356
5,0.49099257588386536,0.5254237055778503
6,0.5287883877754211,0.5220338702201843
7,0.521370530128479,0.5966101884841919
8,0.5241963863372803,0.5932203531265259
9,0.5139526724815369,0.5932203531265259
10,0.6209819912910461,0.6440678238868713
11,0.6036736369132996,0.6203389763832092
12,0.5800070762634277,0.68813556432724
13,0.551748514175415,0.68813556432724
14,0.563758373260498,0.5830508470535278
15,0.5835393667221069,0.5423728823661804
16,0.5837455987930298,0.6372881531715393
17,0.5883392095565796,0.6372881531715393
18,0.6137809157371521,0.5389830470085144
19,0.6109540462493896,0.5389830470085144
